Rank,Player,Gold,Silver,Bronze,S Tier,Earnings,medals
241,m1tez,1,9,1,0,"$11,133",11
242,bENITA,4,6,2,0,"$11,000",12
243,ade,3,5,0,0,"$10,938",8
244,Duno,6,7,5,0,"$10,890",18
245,Daveeys,9,5,1,0,"$10,862",15
246,Brave,2,1,0,0,"$10,844",3
247,poised,2,4,1,0,"$10,830",7
248,zunba,2,6,1,0,"$10,814",9
249,Esperanza,0,3,1,0,"$10,742",4
250,ShoT_UP,3,3,2,0,"$10,740",8
251,Efina,1,3,0,0,"$10,706",4
252,Fisker,2,4,2,0,"$10,669",8
253,eKo,5,2,0,0,"$10,659",7
254,pANcada,10,1,2,0,"$10,650",13
255,Rainy,11,1,2,0,"$10,648",14
256,jammyz,6,8,1,0,"$10,620",15
257,LEXY,6,7,2,0,"$10,605",15
258,Harry,0,3,2,0,"$10,568",5
259,HyP,9,6,3,0,"$10,559",18
260,thwifo,6,6,2,0,"$10,520",14
261,Derrek,8,6,2,0,"$10,415",16
262,Cloud,2,7,2,0,"$10,302",11
263,SuperBusS,8,4,1,0,"$10,176",13
264,Critical,26,9,3,0,"$10,171",38
265,Secret,2,4,1,0,"$10,164",7
266,Izzy,1,1,0,0,"$10,141",2
267,krain,7,5,0,0,"$9,981",12
268,Jinggg,5,2,2,0,"$9,866",9
269,flowerful,8,3,4,0,"$9,720",15
270,HellFull,4,7,2,0,"$9,703",13
271,prozin,4,2,1,0,"$9,693",7
272,wippie,1,1,0,0,"$9,675",2
273,panini,7,3,4,0,"$9,650",14
273,Lorri,7,3,4,0,"$9,650",14
275,GODLIKE,1,2,1,0,"$9,437",4
276,Sp1ke,5,6,1,0,"$9,428",12
277,Kongared,12,6,6,0,"$9,380",24
277,wannafly,12,6,6,0,"$9,380",24
279,Iyo,11,1,2,0,"$9,331",14
280,bnj,4,2,1,0,"$9,255",7
281,b0i,3,2,2,0,"$9,225",7
282,Kant,10,0,2,0,"$9,193",12
283,ChoboMe,7,5,2,0,"$9,192",14
284,gaabxx,2,1,0,0,"$9,080",3
285,asteriskk,7,6,2,0,"$9,033",15
286,it not han,5,3,3,0,"$9,020",11
287,NLaaeR,8,6,3,0,"$9,006",17
288,fra,4,2,1,0,"$8,953",7
289,shion,4,2,1,0,"$8,908",7
290,insider,7,5,2,0,"$8,895",14
291,myssen,3,3,1,0,"$8,888",7
